id,category_id,question_code,question_number,question_text,check_box,max_select,block_number,block_text,is_start_question,parent_question_id,color_code,version,created_at
14,2,2_3,3,What jobs does your child do in the house?,True,10,2,Chores,False,,#ADD8E6,1,2025-10-06 07:18:53.264629
15,2,2_4,4,Is their allowance based on anything?,False,1,3,Allowance,False,,#D6C7E7,1,2025-10-06 07:18:53.292483
16,2,2_5,5,What do they usually do with their allowance?,True,10,3,Allowance,False,,#F08080,1,2025-10-06 07:18:53.321909
17,3,3_1,1,What if your most-used phrase became your legacy?  Which of these do you say most often when talking with your child? (Check all that apply),True,10,1,Conversation,False,,#ADD8E6,1,2025-10-06 07:18:53.350151
18,3,3_2,2,Which of these do you say most often about your child’s actions or choices? (Check all that apply),True,10,1,Conversation,False,,#FFE066,1,2025-10-06 07:18:53.378030
19,3,3_3,3,"When setting limits or correcting behavior, which of these do you say most often? (Check all that apply)",True,10,1,Conversation,False,,#D6C7E7,1,2025-10-06 07:18:53.406071
20,3,3_4,4,Every couple fights—it’s part of being close. But how you argue teaches the child something: What respect looks like. Whether people take responsibility. Whether things get repaired—or just buried.  How do you and your spouse/partner argue?,False,1,2,Conflict,False,,#F08080,1,2025-10-06 07:18:53.434649
21,3,3_5,5,What do you and your spouse usually argue about?,True,10,2,Conflict,False,,#D6C7E7,1,2025-10-06 07:18:53.463260
22,3,3_6,6,What does your child do when you fight?,False,1,2,Conflict,False,,#ADD8E6,1,2025-10-06 07:18:53.491244
23,3,3_7,7,Support starts with knowing what’s heavy—on your shoulders and theirs.  What is weighing on you lately?,True,10,3,Support,False,,#98FB98,1,2025-10-06 07:18:53.519039
24,3,3_8,8,What is weighing on your child lately?,True,10,3,Support,False,,#B0C4DE,1,2025-10-06 07:18:53.547675
25,3,3_9,9,What do you wish your child understood about you?,True,10,3,Support,False,,#F08080,1,2025-10-06 07:18:53.575693
26,3,3_10,10,How often does your child share concerns or worries with you?,False,1,3,Support,False,,#ADD8E6,1,2025-10-06 07:18:53.604811
27,3,3_11,11,What do you usually do when your child shares his or her troubles with you?,False,1,3,Support,False,,#ADD8E6,1,2025-10-06 07:18:53.631728
28,3,3_12,12,"When your child complains about being stressed, do you say:",True,10,3,Support,False,,#ADD8E6,1,2025-10-06 07:18:53.661611
29,3,3_13,13,Have you ever said any of the following?,True,10,3,Support,False,,#ADD8E6,1,2025-10-06 07:18:53.689541
30,3,3_14,14,Do you yell at your children at home?,False,1,3,Support,False,,#ADD8E6,1,2025-10-06 07:18:53.716727
31,3,3_15,15,What if the reason they lie… is what we’re not ready to hear?  Does your teen lie to you?,False,1,4,Trust,False,,#FFE066,1,2025-10-06 07:18:53.745182
32,3,3_16,16,How often do you think they lie?,False,1,4,Trust,False,,#FFAD84,1,2025-10-06 07:18:53.773631
33,3,3_17,17,What do you think your teen is usually hiding when they lie?,True,10,4,Trust,False,,#ADD8E6,1,2025-10-06 07:18:53.801579
34,3,3_18,18,Why do you think teens might lie? (Choose all that apply),True,10,4,Trust,False,,#ADD8E6,1,2025-10-06 07:18:53.831012
35,3,3_19,19,"If they told you the truth, would you know how to help them?",False,1,4,Trust,False,,#98FB98,1,2025-10-06 07:18:53.859259
36,4,4_1,1,Does your child actively talk to you about psychological stress?,False,1,1,Talking About Mental Health,False,,#F08080,1,2025-10-06 07:18:53.888352
37,4,4_2,2,"When it comes to communicating about mental health, which approach do you lean towards?",False,1,1,Talking About Mental Health,False,,#ADD8E6,1,2025-10-06 07:18:53.916473
38,4,4_3,3,What do you do when your child refuses to communicate?,False,1,1,Talking About Mental Health,False,,#ADD8E6,1,2025-10-06 07:18:53.945074
39,4,4_4,4,"If your child showed signs of depression, how would you respond?",True,10,1,Talking About Mental Health,False,,#98FB98,1,2025-10-06 07:18:53.974251
40,5,5_1,1,How would you feel before your child’s first date?,False,1,1,Love Advice,False,,#FFE066,1,2025-10-06 07:18:54.004160
41,5,5_2,2,How would you feel when your child is falling in love for the first time?,False,1,1,Love Advice,False,,#FFE066,1,2025-10-06 07:18:54.032800
42,5,5_3,3,"If your child was ghosted, what would you want them to know about their worth and how to move forward?",True,10,1,Love Advice,False,,#ADD8E6,1,2025-10-06 07:18:54.060721
43,5,5_4,4,What would you say to your child if they were heartbroken and didn’t feel seen or valued anymore? (Pick all that make your heart do the thing 💘),True,10,1,Love Advice,False,,#98FB98,1,2025-10-06 07:18:54.088211
44,6,6_1,1,Friendships can be a lifeline — or feel painfully absent. Does your child have friends?,False,1,1,Friend Circle,False,,#FFE066,1,2025-10-06 07:18:54.116798
45,6,6_2,2,Lunchtime can say a lot about belonging — and even shape a child’s mood or mental health. Who does your child usually sit with at school lunch?,False,1,1,Friend Circle,False,,#FFAD84,1,2025-10-06 07:18:54.144448
46,6,6_3,3,Friends’ parents often give clues about the company kids keep. Do you know your child’s friends’ parents?,False,1,1,Friend Circle,False,,#D6C7E7,1,2025-10-06 07:18:54.171781
47,6,6_4,4,Hanging out can mean many things — from studying or movies to mischief. Do you know what your child does when they hang out with friends?,False,1,1,Friend Circle,False,,#ADD8E6,1,2025-10-06 07:18:54.200735
48,6,6_5,5,"Being left out stings, whether you’re 14 or 40. If your child is left out of a party, what would you do?",False,1,1,Friend Circle,False,,#F08080,1,2025-10-06 07:18:54.232438
49,7,7_1,1,Their phone adds a new dimension to your child’s life. What does your child use their phone for?,True,10,1,Screen time in the House,False,,#ADD8E6,1,2025-10-06 07:18:54.259987
50,7,7_2,2,Do you find that they talk less with you after getting a phone?,False,1,1,Screen time in the House,False,,#ADD8E6,1,2025-10-06 07:18:54.288594
51,7,7_3,3,How do you feel about your child using social media?,False,1,1,Screen time in the House,False,,#98FB98,1,2025-10-06 07:18:54.317073
52,7,7_4,4,How do you respond to your child playing computer or video games?,False,1,1,Screen time in the House,False,,#FFE066,1,2025-10-06 07:18:54.344401
53,7,7_5,5,"When we’re on our phones, children often feel our attention shift — and that matters more than the screen itself. When you’re on your phone or computer, how do you think it affects your child?",False,1,1,Screen time in the House,False,,#FFE066,1,2025-10-06 07:18:54.372949
54,8,8_1,1,What is your primary feeling about being a parent?,False,1,1,Feelings and Expectations,False,,#ADD8E6,1,2025-10-06 07:18:54.400835
55,8,8_2,2,Does the reality of parenting match your imagination before becoming a parent?,False,1,1,Feelings and Expectations,False,,#98FB98,1,2025-10-06 07:18:54.428700
56,8,8_3,3,What has surprised you the most about being a parent? (Pick up 2),True,2,1,Feelings and Expectations,False,,#FFE066,1,2025-10-06 07:18:54.458162
57,8,8_4,4,"If you could go back, what would you tell yourself before becoming a parent? (Pick up 2)",True,2,1,Feelings and Expectations,False,,#FFAD84,1,2025-10-06 07:18:54.487204
58,8,8_5,5,"Looking back, do you feel you were well prepared to be a parent?",False,1,2,Preparedness and Learning Curve,False,,#D6C7E7,1,2025-10-06 07:18:54.515971
59,8,8_6,6,What have you learned about yourself since becoming a parent? (Pick up to 4),True,4,2,Preparedness and Learning Curve,False,,#ADD8E6,1,2025-10-06 07:18:54.543681
60,8,8_7,7,"As a parent, do you have enough support?",False,1,3,Support and Resources,False,,#98FB98,1,2025-10-06 07:18:54.572968
61,8,8_8,8,What kind of support do you wish you had more of as a parent? (Pick up to 2),True,2,3,Support and Resources,False,,#B0C4DE,1,2025-10-06 07:18:54.601726
62,8,8_9,9,Do you feel other parents have the same struggles?,False,1,3,Support and Resources,False,,#F08080,1,2025-10-06 07:18:54.630628
63,8,8_10,10,"When your child disappoints you, what feeling comes up first?",True,10,4,Challenges and Disappointments,False,,#FFE066,1,2025-10-06 07:18:54.659199
64,8,8_11,11,"When parenting gets stressful, what helps you stay calm — or at least, less overwhelmed?",True,10,4,Challenges and Disappointments,False,,#D6C7E7,1,2025-10-06 07:18:54.687376
